Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",174.660070,-100.074135,180.000000,top
"M1","APT3722AT","AP3722AT",174.719302,-103.301693,90.000000,top
